Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
AA-10315,185,5,5563.56,1,1,4,114,Others
AA-10375,20,9,1056.39,4,4,1,441,Others
AA-10480,260,4,1790.5120000000002,1,1,2,112,Others
AA-10645,56,6,5086.9349999999995,3,2,4,324,Others
AB-10015,416,3,886.156,1,1,1,111,Others
AB-10060,55,8,7755.62,3,3,4,334,Others
AB-10105,42,10,14473.570999999998,3,4,4,344,Others
AB-10150,42,5,966.71,3,1,1,311,Others
AB-10165,26,8,1113.838,4,3,1,431,Others
AB-10255,167,9,914.5319999999999,2,4,1,241,Others
AB-10600,51,4,1515.862,3,1,2,312,Others
AC-10420,233,3,925.8,1,1,1,111,Others
AC-10450,12,7,5527.846,4,3,4,434,Others
AC-10615,7,5,2537.6859999999997,4,1,3,413,Others
AC-10660,283,5,657.316,1,1,1,111,Others
AD-10180,30,8,6106.88,4,3,4,434,Others
AF-10870,42,7,2052.908,3,3,2,332,Others
AF-10885,416,4,861.565,1,1,1,111,Others
AG-10270,279,5,2582.898,1,1,3,113,Others
AG-10300,119,4,367.548,2,1,1,211,Others
AG-10330,9,5,660.972,4,1,1,411,Others
AG-10390,115,5,200.945,2,1,1,211,Others
AG-10495,79,8,2356.855,2,3,3,233,Others
AG-10525,846,4,1455.038,1,1,2,112,Others
AG-10675,98,7,3489.0396000000005,2,3,3,233,Others
AG-10765,78,4,170.584,2,1,1,211,Others
AG-10900,97,10,4510.797,2,4,4,244,Others
AH-10030,13,7,1744.7,4,3,2,432,Others
AH-10075,35,10,3250.337,3,4,3,343,Others
AH-10120,61,7,1735.5140000000001,3,3,2,332,Others
AH-10195,56,4,1587.452,3,1,2,312,Others
AH-10210,7,9,4805.344,4,4,4,444,Champions
AH-10465,231,5,2495.3916,1,1,3,113,Others
AH-10585,22,4,738.504,4,1,1,411,Others
AH-10690,411,12,7888.294,1,4,4,144,Others
AI-10855,14,10,4375.786,4,4,4,444,Champions
AJ-10780,76,7,4867.344,3,3,4,334,Others
AJ-10795,167,7,4501.391,2,3,4,234,Others
AJ-10945,86,7,1839.24,2,3,2,232,Others
AJ-10960,75,3,629.2479999999999,3,1,1,311,Others
AM-10360,29,5,814.012,4,1,1,411,Others
AM-10705,163,8,5664.022,2,3,4,234,Others
AO-10810,502,1,161.28,1,1,1,111,Others
AP-10720,42,8,1638.554,3,3,2,332,Others
AP-10915,99,10,3323.556,2,4,3,243,Others
AR-10345,112,4,1055.694,2,1,1,211,Others
AR-10405,126,5,2236.128,2,1,2,212,Others
AR-10510,15,5,264.86400000000003,4,1,1,411,Others
AR-10540,7,6,6608.448,4,2,4,424,Others
AR-10570,535,1,88.15,1,1,1,111,Others
AR-10825,59,8,4523.336,3,3,4,334,Others
AS-10045,89,7,3050.692,2,3,3,233,Others
AS-10090,29,9,3255.31,4,4,3,443,Others
AS-10135,42,2,58.82,3,1,1,311,Others
AS-10225,23,5,4260.784,4,1,4,414,Others
AS-10240,193,7,584.6080000000001,1,3,1,131,Others
AS-10285,20,6,3214.236,4,2,3,423,Others
AS-10630,93,7,833.398,2,3,1,231,Others
AT-10435,22,6,1171.814,4,2,2,422,Others
AT-10735,14,10,3831.864,4,4,4,444,Champions
AW-10840,21,4,649.376,4,1,1,411,Others
AW-10930,47,7,2852.968,3,3,3,333,Others
AY-10555,15,4,497.014,4,1,1,411,Others
AZ-10750,161,6,1622.0179999999998,2,2,2,222,Others
BB-10990,106,5,744.3399999999999,2,1,1,211,Others
BB-11545,29,9,6765.728,4,4,4,444,Champions
BC-11125,203,9,2933.676,1,4,3,143,Others
BD-11320,34,12,5718.521,3,4,4,344,Others
BD-11500,36,6,4411.2429999999995,3,2,4,324,Others
BD-11560,279,2,320.54,1,1,1,111,Others
BD-11605,98,7,3288.471,2,3,3,233,Others
BD-11620,70,6,1538.11,3,2,2,322,Others
BD-11635,10,3,582.646,4,1,1,411,Others
BD-11725,94,6,1526.5,2,2,2,222,Others
BD-11770,328,6,658.466,1,2,1,121,Others
BE-11335,120,5,4204.676,2,1,4,214,Others
BE-11410,99,5,2261.438,2,1,3,213,Others
BE-11455,255,6,1727.652,1,2,2,122,Others
BF-10975,92,7,599.798,2,3,1,231,Others
BF-11005,40,4,1333.88,3,1,2,312,Others
BF-11020,75,8,2888.506,3,3,3,333,Others
BF-11080,26,3,272.95,4,1,1,411,Others
BF-11170,17,11,5907.972,4,4,4,444,Champions
BF-11215,66,4,1585.162,3,1,2,312,Others
BF-11275,58,3,791.9899999999999,3,1,1,311,Others
BG-11035,29,8,2798.948,4,3,3,433,Others
BG-11695,37,6,1874.172,3,2,2,322,Others
BG-11740,58,6,1006.356,3,2,1,321,Others
BH-11710,24,8,6255.351,4,3,4,434,Others
BK-11260,78,6,659.1379999999999,2,2,1,221,Others
BM-11140,308,4,11789.63,1,1,4,114,Others
BM-11575,101,6,808.162,2,2,1,221,Others
BM-11650,34,11,7294.185,3,4,4,344,Others
BM-11785,219,10,1338.842,1,4,2,142,Others
BN-11470,25,4,265.296,4,1,1,411,Others
BN-11515,10,5,1459.344,4,1,2,412,Others
BO-11350,138,5,2682.728,2,1,3,213,Others
BO-11425,76,2,130.83,3,1,1,311,Others
BP-11050,84,5,983.42,2,1,1,211,Others
BP-11095,18,12,2442.044,4,4,3,443,Others
BP-11155,90,6,1697.8609999999999,2,2,2,222,Others
BP-11185,2,9,3675.861,4,4,3,443,Others
BP-11230,40,5,1181.49,3,1,2,312,Others
BP-11290,13,7,2475.157,4,3,3,433,Others
BS-11365,559,5,10501.653,1,1,4,114,Others
BS-11380,29,5,3887.834,4,1,4,414,Others
BS-11590,36,6,2454.928,3,2,3,323,Others
BS-11665,583,3,3288.1099999999997,1,1,3,113,Others
BS-11755,2,7,2562.382,4,3,3,433,Others
BS-11800,266,2,949.4300000000001,1,1,1,111,Others
BT-11305,337,5,2567.656,1,1,3,113,Others
BT-11395,303,6,2186.6130000000003,1,2,2,122,Others
BT-11440,561,4,603.876,1,1,1,111,Others
BT-11485,660,2,415.19599999999997,1,1,1,111,Others
BT-11530,92,5,2684.4919999999997,2,1,3,213,Others
BT-11680,21,7,3196.752,4,3,3,433,Others
BV-11245,335,5,1523.2730000000001,1,1,2,112,Others
BW-11065,213,3,385.516,1,1,1,111,Others
BW-11110,122,8,4750.358,2,3,4,234,Others
BW-11200,204,6,1738.406,1,2,2,122,Others
CA-11965,97,6,3789.7228,2,2,4,224,Others
CA-12055,402,5,1679.7240000000002,1,1,2,112,Others
CA-12265,57,9,2648.2872,3,4,3,343,Others
CA-12310,14,4,1421.954,4,1,2,412,Others
CA-12775,121,7,3041.566,2,3,3,233,Others
CB-12025,48,10,6076.139,3,4,4,344,Others
CB-12415,27,8,1949.2,4,3,2,432,Others
CB-12535,198,8,4246.4555,1,3,4,134,Others
CC-12100,458,6,1770.945,1,2,2,122,Others
CC-12145,107,7,2471.65,2,3,3,233,Others
CC-12220,21,12,3913.418,4,4,4,444,Champions
CC-12370,44,5,12129.072000000002,3,1,4,314,Others
CC-12430,1,10,2870.05,4,4,3,443,Others
CC-12475,40,9,1659.438,3,4,2,342,Others
CC-12550,28,3,113.832,4,1,1,411,Others
CC-12610,35,7,2540.631,3,3,3,333,Others
CC-12670,30,7,2269.7015,4,3,3,433,Others
CC-12685,800,4,2854.1150000000002,1,1,3,113,Others
CD-11920,41,5,2033.968,3,1,2,312,Others
CD-11980,55,3,639.766,3,1,1,311,Others
CD-12280,43,2,1205.584,3,1,2,312,Others
CD-12790,400,5,1860.732,1,1,2,112,Others
CG-12040,50,6,904.4680000000001,3,2,1,321,Others
CG-12520,339,3,1148.7800000000002,1,1,2,112,Others
CH-12070,692,3,1537.236,1,1,2,112,Others
CJ-11875,366,1,16.52,1,1,1,111,Others
CJ-12010,190,8,11164.974,1,3,4,134,Others
CK-12205,40,13,3154.855,3,4,3,343,Others
CK-12325,121,5,2945.321,2,1,3,213,Others
CK-12595,44,11,2372.75,3,4,3,343,Others
CK-12760,83,9,1582.109,2,4,2,242,Others
CL-11890,107,4,1262.0140000000001,2,1,2,212,Others
